"lambda"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12A"	
380	13.09	8.26	5.74	3.99	13.09	7.35	17.92	8.47	6.3	7.77	6.37	6.72	1
385	16.52	10.36	7.14	4.9	16.45	9.17	22.26	10.5	7.84	5.6	4.41	4.48	1
390	20.58	12.88	8.82	6.09	20.44	11.41	26.88	12.67	9.52	4.34	3.22	3.15	1
395	24.29	15.05	10.08	6.86	24.15	13.3	31.71	14.91	11.2	3.99	2.59	2.31	1
400	36.19	24.08	17.99	14.07	35.7	21.77	43.05	22.19	18.13	10.36	9.03	8.33	1
405	136.43	109.83	100.52	96.25	132.37	103.6	135.59	91.56	89.6	85.12	88.76	87.36	1
410	42.91	26.95	18.9	13.65	42	24.01	51.59	26.81	21.35	14.84	11.13	7.84	1
415	43.68	26.18	17.15	11.13	42.77	23.1	49.35	24.15	17.92	18.9	12.53	6.58	1
420	49.07	29.33	19.11	12.32	47.95	25.76	53.97	27.02	20.02	26.18	17.22	7.56	1
425	54.53	32.34	21	13.51	53.06	28.49	58.87	30.94	23.1	35.98	23.66	9.59	1
430	59.92	35.42	22.96	14.7	58.17	31.15	64.05	35.63	26.74	47.25	31.43	12.46	1
435	305.69	244.86	222.95	211.96	285.32	228.27	308.98	238.7	228.34	240.73	237.58	203.35	1
440	118.58	82.67	66.29	56.21	112.42	75.18	122.64	86.94	75.39	104.02	84.91	55.3	1
445	75.04	43.89	28.14	17.85	72.24	38.36	79.45	53.76	40.88	72.8	48.65	18.55	1
450	79.45	46.41	29.75	18.9	76.37	40.46	84	60.2	45.99	75.32	50.33	18.97	1
455	83.23	48.51	31.08	19.74	79.8	42.21	88.06	66.22	50.75	74.69	49.84	18.55	1
460	86.59	50.33	32.13	20.37	82.81	43.75	91.56	71.68	55.02	70.77	47.04	17.43	1
465	89.25	51.8	33.04	20.93	85.19	44.87	94.15	75.88	58.45	64.89	42.91	16.31	1
470	91	52.78	33.6	21.28	86.8	45.64	95.97	79.31	61.25	58.03	38.22	14.7	1
475	92.05	53.34	34.02	21.56	87.78	46.06	97.16	81.97	63.42	51.03	33.53	13.37	1
480	92.61	53.55	34.09	21.63	88.06	46.13	97.65	83.86	65.17	55.37	39.62	21.07	1
485	92.19	53.34	33.95	21.63	87.64	45.92	97.51	85.19	66.36	116.48	100.03	75.81	1
490	91.91	53.34	34.16	21.98	87.29	45.92	96.74	85.96	67.27	117.11	104.72	83.16	1
495	89.95	52.15	33.39	21.42	85.4	44.94	95.48	86.24	67.76	73.08	62.79	48.16	1
500	87.64	50.96	32.69	21	83.23	43.96	94.01	86.45	68.18	41.58	33.04	24.01	1
505	85.4	50.05	32.34	20.86	81.27	43.4	92.75	87.08	69.16	23.38	16.31	10.43	1
510	82.81	49.35	32.34	21.07	79.31	43.33	91.56	87.85	70.28	16.45	10.29	6.44	1
515	80.5	49.28	33.11	21.98	77.7	44.1	90.51	88.76	71.82	13.16	7.7	4.97	1
520	78.54	50.12	34.93	23.87	76.72	46.2	89.46	89.39	73.36	11.13	6.23	4.2	1
525	77.35	52.29	38.36	27.3	76.79	49.84	88.2	89.04	74.41	10.29	5.81	4.41	1
530	77.21	56.28	43.75	32.83	78.12	55.58	87.08	88.2	75.46	12.6	8.26	7.7	1
535	78.26	62.16	51.38	40.67	80.78	63.49	86.31	87.01	76.72	39.97	34.3	31.92	1
540	80.71	70.07	61.46	51.24	84.84	73.43	85.82	85.54	78.26	286.86	277.13	240.8	1
545	194.18	174.16	166.74	158.13	194.46	176.54	206.64	202.72	193.97	515.83	509.88	457.8	1
550	119.35	116.48	112.98	105.77	124.11	122.22	119.35	115.57	114.03	235.27	228.27	206.36	1
555	94.85	102.13	102.13	97.16	101.29	109.41	87.08	82.53	85.96	57.68	52.64	50.12	1
560	100.31	113.12	116.41	114.31	106.4	120.54	88.06	82.32	89.18	23.66	19.81	21.56	1
565	105.07	122.92	129.43	130.76	110.39	129.71	89.04	82.39	92.47	17.29	13.72	17.29	1
570	108.64	130.34	139.65	144.48	112.7	136.01	89.81	82.88	95.55	14.98	11.69	15.89	1
575	128.03	150.29	161.77	169.96	129.78	153.79	108.22	102.27	115.99	34.02	31.01	35.63	1
580	136.85	159.53	172.83	183.82	136.5	161.07	117.25	112.77	126.98	80.15	78.96	83.72	1
585	108.36	135.03	149.87	162.96	107.73	135.87	89.81	86.38	101.85	103.53	103.32	107.24	1
590	104.37	130.62	145.95	160.58	102.48	129.92	88.69	87.71	102.55	85.12	89.11	99.89	1
595	99.05	124.11	139.51	154.98	96.04	121.94	87.15	89.04	102.62	62.79	68.18	83.02	1
600	92.54	115.78	130.69	146.37	88.83	112.63	85.33	90.44	102.27	45.64	51.31	64.96	1
605	85.33	106.47	120.54	136.01	80.99	102.48	83.23	91.84	101.5	58.17	68.04	86.17	1
610	77.84	96.6	109.55	124.18	73.15	92.05	81.2	93.38	100.73	308.84	386.89	479.71	1
615	70.21	86.52	98.28	112	65.45	81.76	79.45	95.27	100.8	241.85	298.06	371.14	1
620	62.65	76.65	87.15	100.94	58.03	71.75	77.84	97.09	101.29	84.63	92.26	102.69	1
625	55.72	67.55	76.65	87.92	51.24	62.65	76.65	98.49	102.34	85.05	92.12	100.66	1
630	49.14	58.8	66.57	76.51	44.87	54.18	75.32	99.4	103.04	73.64	85.82	102.97	1
635	43.4	51.24	57.89	66.64	39.41	46.83	72.94	99.12	101.85	31.01	35.77	45.22	1
640	37.94	44.17	49.77	57.26	34.3	39.97	70.77	98.91	100.8	13.65	14.49	17.99	1
645	33.11	38.01	42.63	49.07	29.82	34.09	70.28	100.38	102.06	15.33	16.38	19.25	1
650	29.05	32.76	36.54	42	26.04	29.12	70.14	101.5	104.16	22.33	25.06	29.26	1
655	25.48	28.14	31.15	35.77	22.75	24.85	70.77	101.22	108.57	19.39	21.07	24.08	1
660	22.4	24.15	26.6	30.52	19.81	21.14	69.09	98	108.29	16.03	17.36	19.67	1
665	19.67	20.72	22.61	25.83	17.43	17.99	60.55	88.06	92.4	14	14.98	16.94	1
670	17.29	17.85	19.25	21.91	15.33	15.4	50.89	76.93	73.99	10.64	10.78	11.48	1
675	15.26	15.33	16.31	18.48	13.51	13.09	45.08	69.86	64.26	9.45	9.31	9.52	1
680	13.51	13.23	13.93	15.68	11.97	11.2	40.81	64.54	57.75	10.29	10.22	10.43	1
685	12.04	11.48	11.9	13.37	10.64	9.59	37.87	60.34	52.99	12.53	13.58	14.98	1
690	11.69	10.71	10.85	11.9	10.36	9.03	35.28	56.49	49.21	12.18	14	16.38	1
695	10.01	8.89	8.89	9.73	8.82	7.35	31.99	51.73	44.45	7.14	8.4	9.94	1
700	9.03	7.7	7.63	8.26	7.91	6.37	28.84	46.97	40.04	7.98	9.45	11.27	1
